(3227, 256, 5) (3227, 1)
Training Shape: (2879, 256, 5) (2879, 1)
Valid Shape: (348, 256, 5) (348, 1)
(2078, 256, 5) (2078, 1)
Training Shape: (1845, 256, 5) (1845, 1)
Valid Shape: (233, 256, 5) (233, 1)
E409: T:0.0005147040938027203 V:0.010848011821508408
E410: T:0.0004858019819948822 V:0.013011603616178036
E411: T:0.0004790562379639596 V:0.009021722711622715
E412: T:0.0005237816949374974 V:0.010582908987998962
E413: T:0.0004980457597412169 V:0.00826084055006504
E414: T:0.0005025300779379904 V:0.010597297921776772
E415: T:0.0006617059698328376 V:0.010537264868617058
E416: T:0.0005641952157020569 V:0.010150989517569542
E417: T:0.0005747522227466106 V:0.010109325870871544
E418: T:0.000562769069802016 V:0.010304945521056652
E419: T:0.0004822956689167768 V:0.01081622764468193
E420: T:0.000622263818513602 V:0.010471382178366184
E421: T:0.0006027940544299781 V:0.011707468889653683
E422: T:0.0005004660924896598 V:0.008647046983242035
E423: T:0.0004920634673908353 V:0.0105732511729002
E424: T:0.00048220701864920557 V:0.009991402737796307
E425: T:0.0004618832899723202 V:0.00997676607221365
E426: T:0.0005542500875890255 V:0.007765812333673239
E427: T:0.0010845395736396313 V:0.016292233020067215
E428: T:0.0006956154247745872 V:0.01177881844341755
E429: T:0.001700632506981492 V:0.011720020323991776
E430: T:0.0019203966949135065 V:0.015026431530714035
E431: T:0.0026060817763209343 V:0.011735042557120323
E432: T:0.0019591045565903187 V:0.005940772593021393
E433: T:0.0014516576193273067 V:0.007930934429168701
E434: T:0.0013868830865249038 V:0.005663290619850159
E435: T:0.001223262632265687 V:0.007012996356934309
E436: T:0.0011874324409291148 V:0.0018927910132333636
E437: T:0.0009794060606509447 V:0.002624223241582513
E438: T:0.0009836774552240968 V:0.005211983807384968
E439: T:0.0008848633733578026 V:0.005686475895345211
E440: T:0.0008441600948572159 V:0.004534641746431589
E441: T:0.0008337642648257315 V:0.004210018087178469
E442: T:0.0008482823614031076 V:0.0024036988615989685
E443: T:0.000765013974159956 V:0.0044133588671684265
E444: T:0.0006978137535043061 V:0.003426941577345133
E445: T:0.0006542480550706387 V:0.003083360381424427
E446: T:0.0006056505371816456 V:0.003138977102935314
E447: T:0.0005862430552951992 V:0.0031117878388613462
E448: T:0.0005504580331034958 V:0.003283464116975665
E449: T:0.0006995104486122727 V:0.0047571188770234585
E450: T:0.0005597301060333848 V:0.0030061586294323206
E451: T:0.0005936370580457151 V:0.002305583329871297
E452: T:0.0005636974237859249 V:0.0026588421314954758
E453: T:0.0005956408567726612 V:0.0027410949114710093
E454: T:0.000602381129283458 V:0.0028492501005530357
E455: T:0.0007470297277905047 V:0.0024023710284382105
