(3227, 256, 4) (3227, 1)
Training Shape: (2879, 256, 4) (2879, 1)
Valid Shape: (348, 256, 4) (348, 1)
(2078, 256, 4) (2078, 1)
Training Shape: (1845, 256, 4) (1845, 1)
Valid Shape: (233, 256, 4) (233, 1)
E354: T:0.056057680398225784 V:0.10474514961242676
E355: T:0.05616304278373718 V:0.09805361926555634
E356: T:0.0562901645898819 V:0.10455658286809921
E357: T:0.056010086089372635 V:0.09910161048173904
E358: T:0.05604439973831177 V:0.09115355461835861
E359: T:0.05627971887588501 V:0.10618915408849716
E360: T:0.05611651763319969 V:0.09753642976284027
E361: T:0.05620446056127548 V:0.10446314513683319
E362: T:0.056060824543237686 V:0.09444641321897507
E363: T:0.056060437113046646 V:0.10505189746618271
E364: T:0.05616813153028488 V:0.08945824950933456
E365: T:0.056167203933000565 V:0.10327599942684174
E366: T:0.0562848225235939 V:0.1069275438785553
E367: T:0.056277766823768616 V:0.09958769381046295
E368: T:0.05614948272705078 V:0.10283266007900238
E369: T:0.056056197732686996 V:0.11572496592998505
E370: T:0.05607011169195175 V:0.10579530894756317
E371: T:0.056204602122306824 V:0.10693935304880142
E372: T:0.056145764887332916 V:0.1052088513970375
E373: T:0.055981263518333435 V:0.10842392593622208
E374: T:0.05606556683778763 V:0.11279390752315521
E375: T:0.05620526894927025 V:0.08698637038469315
E376: T:0.05604932829737663 V:0.09710013121366501
E377: T:0.05609679967164993 V:0.10465970635414124
E378: T:0.05618245154619217 V:0.10335491597652435
E379: T:0.05615062639117241 V:0.09900520741939545
E380: T:0.056079279631376266 V:0.10889814049005508
E381: T:0.05608973279595375 V:0.09670465439558029
E382: T:0.05608084425330162 V:0.10603480786085129
E383: T:0.05629413202404976 V:0.1016220822930336
E384: T:0.056161068379879 V:0.09658006578683853
E385: T:0.05619129166007042 V:0.10120496153831482
E386: T:0.05611855909228325 V:0.09956108778715134
E387: T:0.056123875081539154 V:0.10057783871889114
E388: T:0.05610010027885437 V:0.09145186841487885
E389: T:0.056132156401872635 V:0.0880373865365982
E390: T:0.05605439469218254 V:0.10720080882310867
E391: T:0.05616181716322899 V:0.0958908274769783
E392: T:0.05622825771570206 V:0.09308191388845444
E393: T:0.056095097213983536 V:0.09839183837175369
E394: T:0.05611687898635864 V:0.10135035216808319
E395: T:0.0561220645904541 V:0.10633811354637146
E396: T:0.05610654875636101 V:0.10106147080659866
E397: T:0.05613856017589569 V:0.10240057110786438
E398: T:0.05630144104361534 V:0.10302985459566116
E399: T:0.05620332807302475 V:0.10368234664201736
E400: T:0.05611646547913551 V:0.09951391071081161
E401: T:0.05614514648914337 V:0.09796874970197678
E402: T:0.056276533752679825 V:0.10998223721981049
E403: T:0.05609993264079094 V:0.09993050992488861
E404: T:0.056151725351810455 V:0.10390039533376694
E405: T:0.05600491911172867 V:0.10057529807090759
E406: T:0.05627289414405823 V:0.11436132341623306
E407: T:0.056223928928375244 V:0.09011151641607285
E408: T:0.056163571774959564 V:0.09515142440795898
E409: T:0.05629780516028404 V:0.10101427882909775
E410: T:0.05616738647222519 V:0.09364429116249084
E411: T:0.056117888540029526 V:0.10362071543931961
E412: T:0.05604316294193268 V:0.09803459793329239
E413: T:0.05610477551817894 V:0.09756284952163696
E414: T:0.05613316223025322 V:0.0929049625992775
E415: T:0.05613155663013458 V:0.10068141669034958
E416: T:0.0561230406165123 V:0.0908411368727684
E417: T:0.05617775395512581 V:0.10633634030818939
E418: T:0.056096941232681274 V:0.11981186270713806
E419: T:0.05609845742583275 V:0.10506441444158554
E420: T:0.05616774037480354 V:0.10734525322914124
E421: T:0.05614415556192398 V:0.08961241692304611
E422: T:0.056285131722688675 V:0.09724614769220352
E423: T:0.05613953620195389 V:0.0975118950009346
E424: T:0.05619209632277489 V:0.10017723590135574
E425: T:0.05604098364710808 V:0.0949796661734581
E426: T:0.05611782521009445 V:0.09769561141729355
E427: T:0.05625177174806595 V:0.11446855962276459
E428: T:0.05602462962269783 V:0.09939945489168167
E429: T:0.05602293461561203 V:0.10248524695634842
E430: T:0.05611458420753479 V:0.10171608626842499
E431: T:0.05615221709012985 V:0.10747357457876205
E432: T:0.056162357330322266 V:0.09593144804239273
E433: T:0.05609668418765068 V:0.10680216550827026
E434: T:0.05603038892149925 V:0.10610444843769073
E435: T:0.056333672255277634 V:0.10239595174789429
E436: T:0.056142330169677734 V:0.0998876616358757
E437: T:0.05605369806289673 V:0.10265635699033737
E438: T:0.05613928288221359 V:0.0996536836028099
E439: T:0.05614570155739784 V:0.09663708508014679
E440: T:0.05628420412540436 V:0.09088446944952011
E441: T:0.05603964254260063 V:0.1079842671751976
E442: T:0.05613790452480316 V:0.09375376254320145
E443: T:0.056178901344537735 V:0.09844657778739929
E444: T:0.05609159916639328 V:0.10017818957567215
E445: T:0.056113824248313904 V:0.09787411987781525
E446: T:0.05611417815089226 V:0.1014498770236969
E447: T:0.05617354437708855 V:0.10281011462211609
E448: T:0.05619404837489128 V:0.09896264970302582
E449: T:0.056145161390304565 V:0.09687218815088272
E450: T:0.05613470822572708 V:0.10571358352899551
E451: T:0.05613226071000099 V:0.10184511542320251
E452: T:0.05605769157409668 V:0.09345223754644394
E453: T:0.05607910081744194 V:0.10186413675546646
E454: T:0.056192632764577866 V:0.09531332552433014
E455: T:0.056248970329761505 V:0.10370531678199768
E456: T:0.0561092309653759 V:0.09893534332513809
E457: T:0.056238338351249695 V:0.10317900776863098
E458: T:0.05612489953637123 V:0.1012781634926796
E459: T:0.05594335496425629 V:0.0979330837726593
E460: T:0.05614621564745903 V:0.09656817466020584
E461: T:0.05611854046583176 V:0.10330312699079514
E462: T:0.05620767921209335 V:0.10327296704053879
E463: T:0.05611733719706535 V:0.08846849203109741
E464: T:0.05608765035867691 V:0.10020066052675247
E465: T:0.05610361695289612 V:0.11288415640592575
E466: T:0.056068304926157 V:0.09298279136419296
E467: T:0.05607721209526062 V:0.09848123788833618
E468: T:0.05631507560610771 V:0.10261685401201248
E469: T:0.05613452196121216 V:0.09530018270015717
E470: T:0.056155309081077576 V:0.09736119210720062
E471: T:0.056112904101610184 V:0.1016726866364479
E472: T:0.05611179396510124 V:0.10069897025823593
E473: T:0.05607554316520691 V:0.09175382554531097
E474: T:0.05603458732366562 V:0.10021998733282089
E475: T:0.05606941878795624 V:0.10392291098833084
E476: T:0.056157056242227554 V:0.10281194001436234
E477: T:0.05602594465017319 V:0.09917603433132172
E478: T:0.056085653603076935 V:0.10362417995929718
E479: T:0.05599052831530571 V:0.10990896075963974
E480: T:0.056105755269527435 V:0.1117672398686409
E481: T:0.05610227584838867 V:0.09935224056243896
E482: T:0.05608842149376869 V:0.10206934809684753
E483: T:0.05609111115336418 V:0.10781455039978027
E484: T:0.05619562044739723 V:0.09630001336336136
E485: T:0.05619757995009422 V:0.09193554520606995
E486: T:0.056216999888420105 V:0.10122266411781311
E487: T:0.056033115833997726 V:0.10796649008989334
E488: T:0.05617549270391464 V:0.09597798436880112
E489: T:0.056171149015426636 V:0.09879148751497269
E490: T:0.05613204091787338 V:0.10182780027389526
E491: T:0.05605917423963547 V:0.10065856575965881
E492: T:0.056126344949007034 V:0.09679652005434036
E493: T:0.05613888427615166 V:0.09415842592716217
E494: T:0.056108277291059494 V:0.10080402344465256
E495: T:0.05611032620072365 V:0.09128274768590927
E496: T:0.05613608658313751 V:0.0997912734746933
E497: T:0.05624563246965408 V:0.11098403483629227
E498: T:0.056223127990961075 V:0.09370984882116318
E499: T:0.05617939680814743 V:0.10558828711509705
E500: T:0.056061699986457825 V:0.10486060380935669
