Training Shape: (1973, 256, 5) (1973, 1)
Valid Shape: (581, 256, 5) (581, 1)
Training Shape: (1238, 256, 5) (1238, 1)
Valid Shape: (305, 256, 5) (305, 1)
E313: T:0.00012911096564494073 V:0.12175993621349335
E314: T:0.00011244335473747924 V:0.12747536599636078
E315: T:0.00010514111636439338 V:0.12778478860855103
E316: T:0.00011142105358885601 V:0.10803912580013275
E317: T:0.00011260243627475575 V:0.136514812707901
E318: T:0.00012016473192488775 V:0.11667640507221222
E319: T:0.0001076324115274474 V:0.12282024323940277
E320: T:0.00011435970372986048 V:0.1499433070421219
E321: T:0.00012169322872068733 V:0.12292207032442093
E322: T:0.00012288727157283574 V:0.1214892715215683
E323: T:0.00011336403258610517 V:0.112372487783432
E324: T:0.00013780282461084425 V:0.10618557780981064
E325: T:0.00010663416469469666 V:0.11537256091833115
E326: T:9.722797403810546e-05 V:0.10273228585720062
E327: T:0.00011013162293238565 V:0.10256974399089813
E328: T:0.00010240138362860307 V:0.07437089085578918
E329: T:0.00010378627484897152 V:0.11832324415445328
E330: T:0.00010332932288292795 V:0.08909418433904648
E331: T:0.00010247055615764111 V:0.0975566953420639
E332: T:0.00010245168959954754 V:0.0957939550280571
E333: T:0.00012198815238662064 V:0.09273842722177505
E334: T:0.0001109395525418222 V:0.09194473922252655
E335: T:0.00010498859774088487 V:0.05967683717608452
E336: T:0.00011229020310565829 V:0.0920071229338646
E337: T:9.82155543169938e-05 V:0.09540672600269318
E338: T:0.00010096668120240793 V:0.08689750730991364
E339: T:9.788128227228299e-05 V:0.09273196011781693
E340: T:0.00010171971371164545 V:0.10970801115036011
E341: T:9.853713709162548e-05 V:0.10363532602787018
E342: T:9.615829185349867e-05 V:0.10763423144817352
E343: T:0.00010530964937061071 V:0.0993487611413002
E344: T:0.00010327680502086878 V:0.1323978453874588
E345: T:0.00011045642895624042 V:0.10742701590061188
E346: T:0.00011693075066432357 V:0.11501119285821915
E347: T:0.00010286233737133443 V:0.12549717724323273
E348: T:0.00010237612877972424 V:0.1260121464729309
E349: T:0.0001075383770512417 V:0.10274042934179306
E350: T:8.970505587058142e-05 V:0.09090068936347961
E351: T:0.000105890809209086 V:0.10974959284067154
E352: T:0.00011153716332046315 V:0.1170753613114357
E353: T:0.00011632675159489736 V:0.1106627956032753
E354: T:0.00010990811279043555 V:0.11281470954418182
E355: T:0.00011655934213194996 V:0.11965682357549667
E356: T:0.00012187960237497464 V:0.1298980414867401
E357: T:0.00010355716949561611 V:0.11758680641651154
E358: T:9.040282020578161e-05 V:0.10179097950458527
E359: T:0.00012514590343926102 V:0.091532401740551
E360: T:9.647937258705497e-05 V:0.14459159970283508
E361: T:0.00011655845446512103 V:0.13883081078529358
E362: T:0.00010976837074849755 V:0.11512009799480438
E363: T:9.947170474333689e-05 V:0.10862994194030762
E364: T:0.00010293345985701308 V:0.11805496364831924
E365: T:9.652299922890961e-05 V:0.09533704072237015
E366: T:0.0001037214242387563 V:0.11902114003896713
E367: T:9.368565224576741e-05 V:0.12603028118610382
E368: T:9.053412213688716e-05 V:0.11060398817062378
E369: T:9.555287397233769e-05 V:0.13541994988918304
E370: T:9.832860814640298e-05 V:0.12902215123176575
E371: T:9.376301750307903e-05 V:0.12158052623271942
E372: T:0.00010129930160474032 V:0.10093311220407486
E373: T:0.0001076363623724319 V:0.11568053811788559
E374: T:0.00010618960368447006 V:0.1143820658326149
E375: T:0.0001050362188834697 V:0.11667297780513763
E376: T:9.901975136017427e-05 V:0.1482570916414261
E377: T:9.76538794930093e-05 V:0.1035391315817833
E378: T:8.997196709970012e-05 V:0.11913800984621048
E379: T:8.548717596568167e-05 V:0.11100874096155167
E380: T:9.478435822529718e-05 V:0.11239650100469589
E381: T:9.885097097139806e-05 V:0.11441053450107574
E382: T:0.00010128437861567363 V:0.11776421219110489
E383: T:9.605605737306178e-05 V:0.11144975572824478
E384: T:0.00011042947153327987 V:0.08946438133716583
E385: T:0.00010030908015323803 V:0.09219764918088913
E386: T:9.726987627800554e-05 V:0.11035171896219254
E387: T:0.00010161413229070604 V:0.06883013248443604
E388: T:7.915059541119263e-05 V:0.1027393639087677
E389: T:9.01727398741059e-05 V:0.12621179223060608
E390: T:8.386746776523069e-05 V:0.11718996614217758
E391: T:0.00010623683920130134 V:0.11717257648706436
E392: T:0.00010813236440299079 V:0.1102571189403534
E393: T:8.550148777430877e-05 V:0.09384172409772873
E394: T:8.686103683430701e-05 V:0.12719480693340302
E395: T:0.00011338622425682843 V:0.14282795786857605
E396: T:9.219014464179054e-05 V:0.12735526263713837
E397: T:9.460723958909512e-05 V:0.11160982400178909
E398: T:8.974939555628225e-05 V:0.13406376540660858
E399: T:8.632001845398918e-05 V:0.10648933798074722
E400: T:9.096990834223107e-05 V:0.12761293351650238
E401: T:9.189376578433439e-05 V:0.1315416544675827
E402: T:9.479180152993649e-05 V:0.15322086215019226
E403: T:9.739158122101799e-05 V:0.13374993205070496
E404: T:8.613965474069118e-05 V:0.15432141721248627
E405: T:8.319139305967838e-05 V:0.1252341866493225
E406: T:9.831566421780735e-05 V:0.13333335518836975
